Date,Time,Source,Color Name,RGB,HEX,Percentage
Date,Time,Source,Color Name,RGB,HEX,Percentage
2026-06-27,19:16:52,Webcam,Gray,"(96, 64, 96)",#604060,50.43%
2026-06-27,19:16:52,Webcam,Gray,"(128, 128, 160)",#8080A0,62.91%
2026-06-27,19:16:53,Webcam,Gray,"(128, 128, 160)",#8080A0,43.06%
2026-06-27,19:16:54,Webcam,Gray,"(128, 128, 160)",#8080A0,30.55%
2026-06-27,19:16:54,Webcam,Gray,"(128, 128, 160)",#8080A0,33.22%
2026-06-27,19:16:55,Webcam,Gray,"(128, 128, 160)",#8080A0,35.85%
2026-06-27,19:16:56,Webcam,Black,"(32, 32, 32)",#202020,27.40%
2026-06-27,19:16:56,Webcam,Black,"(32, 32, 32)",#202020,23.05%
2026-06-27,19:16:57,Webcam,Black,"(0, 0, 0)",#000000,23.52%
2026-06-27,19:16:58,Webcam,Black,"(0, 0, 0)",#000000,25.56%
2026-06-27,19:16:59,Webcam,Black,"(0, 0, 0)",#000000,24.93%
2026-06-27,19:16:59,Webcam,Gray,"(128, 128, 160)",#8080A0,24.18%
2026-06-27,19:17:00,Webcam,Gray,"(128, 128, 160)",#8080A0,18.68%
2026-06-27,19:17:01,Webcam,Gray,"(160, 160, 192)",#A0A0C0,21.53%
2026-06-27,19:17:01,Webcam,Gray,"(160, 160, 192)",#A0A0C0,28.11%
2026-06-27,19:17:02,Webcam,Gray,"(160, 160, 192)",#A0A0C0,30.09%
2026-06-27,19:17:03,Webcam,Gray,"(160, 160, 192)",#A0A0C0,18.57%
2026-06-27,19:17:03,Webcam,Gray,"(160, 160, 192)",#A0A0C0,17.26%
2026-06-27,19:17:04,Webcam,Gray,"(160, 160, 192)",#A0A0C0,21.10%
2026-06-27,19:17:05,Webcam,Gray,"(160, 160, 192)",#A0A0C0,28.88%
2026-06-27,19:17:05,Webcam,Gray,"(160, 160, 192)",#A0A0C0,25.64%
2026-06-27,19:17:06,Webcam,Gray,"(160, 160, 160)",#A0A0A0,14.33%
2026-06-27,19:17:07,Webcam,Gray,"(160, 160, 160)",#A0A0A0,12.04%
2026-06-27,19:17:07,Webcam,Gray,"(160, 160, 160)",#A0A0A0,8.95%
2026-06-27,19:17:08,Webcam,Gray,"(160, 160, 160)",#A0A0A0,13.91%
2026-06-27,19:17:09,Webcam,Black,"(64, 32, 32)",#402020,10.06%
2026-06-27,19:17:09,Webcam,Black,"(64, 32, 32)",#402020,12.41%
2026-06-27,19:17:10,Webcam,Gray,"(160, 160, 192)",#A0A0C0,11.17%
2026-06-27,19:17:10,Webcam,Gray,"(160, 160, 192)",#A0A0C0,10.59%
2026-06-27,19:17:11,Webcam,Gray,"(160, 160, 192)",#A0A0C0,9.99%
2026-06-27,19:17:12,Webcam,Green,"(0, 96, 64)",#006040,11.05%
2026-06-27,19:17:12,Webcam,Green,"(0, 96, 64)",#006040,12.67%
2026-06-27,19:17:13,Webcam,Green,"(0, 96, 64)",#006040,11.11%
2026-06-27,19:17:14,Webcam,Gray,"(160, 160, 192)",#A0A0C0,10.47%
2026-06-27,19:17:14,Webcam,Gray,"(160, 160, 192)",#A0A0C0,9.39%
2026-06-27,19:17:15,Webcam,Brown,"(64, 64, 32)",#404020,9.91%
2026-06-27,19:17:16,Webcam,Brown,"(64, 64, 32)",#404020,9.81%
2026-06-27,19:17:16,Webcam,Green,"(0, 96, 64)",#006040,9.53%
2026-06-27,19:17:17,Webcam,Green,"(0, 96, 64)",#006040,9.92%
2026-06-27,19:17:18,Webcam,Gray,"(160, 160, 192)",#A0A0C0,10.28%
2026-06-27,19:17:18,Webcam,Gray,"(160, 160, 192)",#A0A0C0,11.56%
2026-06-27,19:17:19,Webcam,Gray,"(160, 160, 192)",#A0A0C0,28.59%
2026-06-27,19:17:20,Webcam,Gray,"(160, 160, 192)",#A0A0C0,30.78%
